Species,count,pValue
Dorogostaiskia_parasitica,2,pValue_10^minus10
Boeckaxelia_potanini,2,pValue_10^minus10
Carinurus_bicarinatus,3,pValue_10^minus10
Echiuropus_macronychus,2,pValue_10^minus10
Garjajewia_dershawini,2,pValue_10^minus10
Acanthogammarus_godlewskii,2,pValue_10^minus10
Cornugammarus_maximus,0,pValue_10^minus10
Brandtia_latissima,2,pValue_10^minus10
Oxyacanthus_curtus,3,pValue_10^minus10
Boeckaxelia_carpenterii,3,pValue_10^minus10
Parapallasea_borowskii,2,pValue_10^minus10
Eucarinogammarus_wagii,1,pValue_10^minus10
Brachyuropus_grewingkii,1,pValue_10^minus10
Oxyacanthus_sowinskii,2,pValue_10^minus10
Hyalellopsis_stebbingi,3,pValue_10^minus10
Asprogammarus_rhodophthalmus,5,pValue_10^minus10
Hyalellopsis_costata,2,pValue_10^minus10
Hyalellopsis_grisea,1,pValue_10^minus10
Hyalellopsis_carinata,3,pValue_10^minus10
Poekilogammarus_pictoides,3,pValue_10^minus10
Palicarinus_puzyllii,3,pValue_10^minus10
Parapallasea_wosnessenskii,1,pValue_10^minus10
Oxyacanthus_flavus,6,pValue_10^minus10
Hyalellopsis_setosa,2,pValue_10^minus10
Baikalogammarus_pullus,0,pValue_10^minus10
Sluginella_kietlinskii,1,pValue_10^minus10
Macropereiopus_wagneri,1,pValue_10^minus10
Eulimnogammarus_sp,3,pValue_10^minus10
Eulimnogammarus_messerschmidtii,6,pValue_10^minus10
Eulimnogammarus_vittatus,3,pValue_10^minus10
Eulimnogammarus_ussolzewii,2,pValue_10^minus10
Eulimnogammarus_violaceus,2,pValue_10^minus10
Eulimnogammarus_cyaneus,4,pValue_10^minus10
Eulimnogammarus_marituji,3,pValue_10^minus10
Odontogammarus_calcaratus,4,pValue_10^minus10
Eulimnogammarus_czerskii,7,pValue_10^minus10
Eulimnogammarus_testaceus,2,pValue_10^minus10
Eulimnogammarus_similis,5,pValue_10^minus10
Eulimnogammarus_cruentus2,3,pValue_10^minus10
Eulimnogammarus_sp2,0,pValue_10^minus10
Eulimnogammarus_viridulus,5,pValue_10^minus10
Ommatogammarus_flavus,8,pValue_10^minus10
Eulimnogammarus_verrucosus,3,pValue_10^minus10
Eulimnogammarus_cruentus,9,pValue_10^minus10
Heterogammarus_sophianosii,7,pValue_10^minus10
Macropereiopus_parvus,5,pValue_10^minus10
Ommatogammarus_albinus,4,pValue_10^minus10
Gammarus_lacustris,5,pValue_10^minus10
Macrohectopus_branickii,0,pValue_10^minus10
Crypturopus_inflatus,0,pValue_10^minus10
Micruropus_parvulus,1,pValue_10^minus10
Micruropus_glaber,2,pValue_10^minus10
Gmelinoides_fasciatus,2,pValue_10^minus10
Linevichella_vortex,3,pValue_10^minus10
Micruropus_wahlii,4,pValue_10^minus10
Pachyschesis_branchialis2,1,pValue_10^minus10
Pachyschesis_branchialis,6,pValue_10^minus10
Pallasea_cancelloides2,2,pValue_10^minus10
Homalogammarus_brandtii,2,pValue_10^minus10
Pallasea_cancelloides,2,pValue_10^minus10
Pallaseopsis_kessleri,0,pValue_10^minus10
Pallasea_grubei,3,pValue_10^minus10
Pallasea_cancellus,4,pValue_10^minus10
Pentagonurus_dawydowi,2,pValue_10^minus10
Pallasea_sp,4,pValue_10^minus10
Pandorites_podoceroides,0,pValue_10^minus10
Dorogostaiskia_parasitica,2,pValue_10^minus20
Boeckaxelia_potanini,2,pValue_10^minus20
Carinurus_bicarinatus,3,pValue_10^minus20
Echiuropus_macronychus,2,pValue_10^minus20
Garjajewia_dershawini,0,pValue_10^minus20
Acanthogammarus_godlewskii,2,pValue_10^minus20
Cornugammarus_maximus,0,pValue_10^minus20
Brandtia_latissima,2,pValue_10^minus20
Oxyacanthus_curtus,2,pValue_10^minus20
Boeckaxelia_carpenterii,2,pValue_10^minus20
Parapallasea_borowskii,1,pValue_10^minus20
Eucarinogammarus_wagii,1,pValue_10^minus20
Brachyuropus_grewingkii,0,pValue_10^minus20
Oxyacanthus_sowinskii,2,pValue_10^minus20
Hyalellopsis_stebbingi,3,pValue_10^minus20
Asprogammarus_rhodophthalmus,4,pValue_10^minus20
Hyalellopsis_costata,2,pValue_10^minus20
Hyalellopsis_grisea,0,pValue_10^minus20
Hyalellopsis_carinata,3,pValue_10^minus20
Poekilogammarus_pictoides,2,pValue_10^minus20
Palicarinus_puzyllii,2,pValue_10^minus20
Parapallasea_wosnessenskii,1,pValue_10^minus20
Oxyacanthus_flavus,1,pValue_10^minus20
Hyalellopsis_setosa,2,pValue_10^minus20
Baikalogammarus_pullus,0,pValue_10^minus20
Sluginella_kietlinskii,0,pValue_10^minus20
Macropereiopus_wagneri,0,pValue_10^minus20
Eulimnogammarus_sp,3,pValue_10^minus20
Eulimnogammarus_messerschmidtii,2,pValue_10^minus20
Eulimnogammarus_vittatus,3,pValue_10^minus20
Eulimnogammarus_ussolzewii,1,pValue_10^minus20
Eulimnogammarus_violaceus,1,pValue_10^minus20
Eulimnogammarus_cyaneus,4,pValue_10^minus20
Eulimnogammarus_marituji,3,pValue_10^minus20
Odontogammarus_calcaratus,1,pValue_10^minus20
Eulimnogammarus_czerskii,2,pValue_10^minus20
Eulimnogammarus_testaceus,1,pValue_10^minus20
Eulimnogammarus_similis,1,pValue_10^minus20
Eulimnogammarus_cruentus2,2,pValue_10^minus20
Eulimnogammarus_sp2,0,pValue_10^minus20
Eulimnogammarus_viridulus,4,pValue_10^minus20
Ommatogammarus_flavus,4,pValue_10^minus20
Eulimnogammarus_verrucosus,2,pValue_10^minus20
Eulimnogammarus_cruentus,4,pValue_10^minus20
Heterogammarus_sophianosii,4,pValue_10^minus20
Macropereiopus_parvus,3,pValue_10^minus20
Ommatogammarus_albinus,1,pValue_10^minus20
Gammarus_lacustris,3,pValue_10^minus20
Macrohectopus_branickii,0,pValue_10^minus20
Crypturopus_inflatus,0,pValue_10^minus20
Micruropus_parvulus,1,pValue_10^minus20
Micruropus_glaber,2,pValue_10^minus20
Gmelinoides_fasciatus,1,pValue_10^minus20
Linevichella_vortex,3,pValue_10^minus20
Micruropus_wahlii,0,pValue_10^minus20
Pachyschesis_branchialis2,1,pValue_10^minus20
Pachyschesis_branchialis,1,pValue_10^minus20
Pallasea_cancelloides2,2,pValue_10^minus20
Homalogammarus_brandtii,2,pValue_10^minus20
Pallasea_cancelloides,2,pValue_10^minus20
Pallaseopsis_kessleri,0,pValue_10^minus20
Pallasea_grubei,3,pValue_10^minus20
Pallasea_cancellus,4,pValue_10^minus20
Pentagonurus_dawydowi,1,pValue_10^minus20
Pallasea_sp,2,pValue_10^minus20
Pandorites_podoceroides,0,pValue_10^minus20
